VehClass,VehSubClass-Fuel_Tech,Automation,Baseline,BASE_2025_Low,BASE_2025_High,BASE_2040_Low,BASE_2040_High,A_Low,A_High,B_Low,B_High,C_Low,C_High,
# VehClass,VehSubClass-Fuel_Tech,Automation,BASELINE_POLK,BASE_2025,BASE_2025,BASE_2040,BASE_2040,Scenario_A,Scenario_A,Scenario_B,Scenario_B,Scenario_C,Scenario_C,
# VehClass,VehSubClass-Fuel_Tech,,,Low,High,Low,High,Low,High,Low,High,Low,High,
LDV,CAR_COMPACT-BEV_BEV,No,0.001,0.02,0.04,0.05,0.09,0.02,0.04,0.05,0.05,0.05,0.05,
LDV,CAR_COMPACT-BEV_BEV,Partial,,,,,,,,,,,,
LDV,CAR_COMPACT-BEV_BEV,Full,,,,,,,,,0.04,,0.04,
LDV,CAR_COMPACT-Diesel_Conventional,No,,,,,,,,,,,,
LDV,CAR_COMPACT-Diesel_Conventional,Partial,,,,,,,,,,,,
LDV,CAR_COMPACT-Diesel_Conventional,Full,,,,,,,,,,,,
LDV,CAR_COMPACT-Gas_Conventional,No,0.2,0.11,0.09,0,0,0.08,0.06,,,,,
LDV,CAR_COMPACT-Gas_Conventional,Partial,,,,,,0.03,0.03,,,,,
LDV,CAR_COMPACT-Gas_Conventional,Full,,,,,,,,,,,,
LDV,CAR_COMPACT-Gas_Conv48V,No,,0.035,0.045,0.03,0,0.035,0.045,0.03,,0.03,,
LDV,CAR_COMPACT-Gas_Conv48V,Partial,,,,,,,,,,,,
LDV,CAR_COMPACT-Gas_Conv48V,Full,,,,,,,,,,,,
LDV,CAR_COMPACT-Gas_HEV,No,0.015,0.02,0.01,0.05,0.04,0.02,0.01,0.05,0.02,0.05,0.02,
LDV,CAR_COMPACT-Gas_HEV,Partial,,,,,,,,,,,,
LDV,CAR_COMPACT-Gas_HEV,Full,,,,,,,,,0.02,,0.02,
LDV,CAR_COMPACT-Gas_PHEV,No,,,,,,,,,,,,
LDV,CAR_COMPACT-Gas_PHEV,Partial,,,,,,,,,,,,
LDV,CAR_COMPACT-Gas_PHEV,Full,,,,,,,,,,,,
LDV,CAR_MIDSIZE-BEV_BEV,No,,0.02,0.03,0.04,0.1,0.02,0.03,0.02,0.04,0.02,0.04,
LDV,CAR_MIDSIZE-BEV_BEV,Partial,,,,,,,,,,,,
LDV,CAR_MIDSIZE-BEV_BEV,Full,,,,,,,,0.02,0.06,0.02,0.06,
LDV,CAR_MIDSIZE-Diesel_Conventional,No,,0,0,0,0,,,,,,,
LDV,CAR_MIDSIZE-Diesel_Conventional,Partial,,,,,,,,,,,,
LDV,CAR_MIDSIZE-Diesel_Conventional,Full,,,,,,,,,,,,
LDV,CAR_MIDSIZE-Gas_Conventional,No,0.2,0.11,0.095,0,0,0.08,0.055,,,,,
LDV,CAR_MIDSIZE-Gas_Conventional,Partial,,,,,,0.03,0.04,,,,,
LDV,CAR_MIDSIZE-Gas_Conventional,Full,,,,,,,,,,,,
LDV,CAR_MIDSIZE-Gas_Conv48V,No,,0.04,0.04,0.06,0.04,0.04,0.04,0.06,0.04,0.06,0.04,
LDV,CAR_MIDSIZE-Gas_Conv48V,Partial,,,,,,,,,,,,
LDV,CAR_MIDSIZE-Gas_Conv48V,Full,,,,,,,,,,,,
LDV,CAR_MIDSIZE-Gas_HEV,No,0.005,0.02,0.02,0.08,0.04,0.02,0.02,0.04,0.02,0.04,0.02,
LDV,CAR_MIDSIZE-Gas_HEV,Partial,,,,,,,,,,,,
LDV,CAR_MIDSIZE-Gas_HEV,Full,,,,,,,,0.04,0.02,0.04,0.02,
LDV,CAR_MIDSIZE-Gas_PHEV,No,,0.02,0.03,0.04,0.05,0.02,0.03,0.02,0.02,0.02,0.02,
LDV,CAR_MIDSIZE-Gas_PHEV,Partial,,,,,,,,,,,,
LDV,CAR_MIDSIZE-Gas_PHEV,Full,,,,,,,,0.02,0.03,0.02,0.03,
LDV,CAR_FULLSIZE-BEV_BEV,No,,,,0.01,0.04,,,,,,,
LDV,CAR_FULLSIZE-BEV_BEV,Partial,,,,,,,,,,,,
LDV,CAR_FULLSIZE-BEV_BEV,Full,,,,,,,,0.01,0.04,0.01,0.04,
LDV,CAR_FULLSIZE-Diesel_Conventional,No,,0,0,0,0,,,,,,,
LDV,CAR_FULLSIZE-Diesel_Conventional,Partial,,,,,,,,,,,,
LDV,CAR_FULLSIZE-Diesel_Conventional,Full,,,,,,,,,,,,
LDV,CAR_FULLSIZE-Gas_Conventional,No,0.07,0.04,0.04,0,0,0.04,0.04,,,,,
LDV,CAR_FULLSIZE-Gas_Conventional,Partial,,,,,,,,,,,,
LDV,CAR_FULLSIZE-Gas_Conventional,Full,,,,,,,,,,,,
LDV,CAR_FULLSIZE-Gas_Conv48V,No,,,0.01,0.02,0.02,,0.01,0.02,0.02,0.02,0.02,
LDV,CAR_FULLSIZE-Gas_Conv48V,Partial,,,,,,,,,,,,
LDV,CAR_FULLSIZE-Gas_Conv48V,Full,,,,,,,,,,,,
LDV,CAR_FULLSIZE-Gas_HEV,No,,0.02,,0.03,,0.02,,0.03,,0.03,,
LDV,CAR_FULLSIZE-Gas_HEV,Partial,,,,,,,,,,,,
LDV,CAR_FULLSIZE-Gas_HEV,Full,,,,,,,,,,,,
LDV,CAR_FULLSIZE-Gas_PHEV,No,0.001,0.01,0.02,0,0,0.01,0.02,,,,,
LDV,CAR_FULLSIZE-Gas_PHEV,Partial,,,,,,,,,,,,
LDV,CAR_FULLSIZE-Gas_PHEV,Full,,,,,,,,,,,,
LDV,SUV_COMPACT-BEV_BEV,No,,,,0.07,0.11,,,0.03,0.04,0.03,0.04,
LDV,SUV_COMPACT-BEV_BEV,Partial,,,,,,,,,,,,
LDV,SUV_COMPACT-BEV_BEV,Full,,,,,,,,0.04,0.07,0.04,0.07,
LDV,SUV_COMPACT-Diesel_Conventional,No,,0,0,0,0,,,,,,,
LDV,SUV_COMPACT-Diesel_Conventional,Partial,,,,,,,,,,,,
LDV,SUV_COMPACT-Diesel_Conventional,Full,,,,,,,,,,,,
LDV,SUV_COMPACT-Gas_Conventional,No,0.15,0.12,0.115,0.05,0,0.08,0.075,,,,,
LDV,SUV_COMPACT-Gas_Conventional,Partial,,,,,,0.04,0.04,0.05,,0.05,,
LDV,SUV_COMPACT-Gas_Conventional,Full,,,,,,,,,,,,
LDV,SUV_COMPACT-Gas_Conv48V,No,,0.045,0.045,0.04,0.08,0.045,0.045,0.04,,0.04,,
LDV,SUV_COMPACT-Gas_Conv48V,Partial,,,,,,,,,0.08,,0.08,
LDV,SUV_COMPACT-Gas_Conv48V,Full,,,,,,,,,,,,
LDV,SUV_COMPACT-Gas_HEV,No,,0.01,0.02,0.08,0.03,0.01,0.02,0.08,0.01,0.08,0.01,
LDV,SUV_COMPACT-Gas_HEV,Partial,,,,,,,,,,,,
LDV,SUV_COMPACT-Gas_HEV,Full,,,,,,,,,0.02,,0.02,
LDV,SUV_COMPACT-Gas_PHEV,No,,,,0.035,0.045,,,,,,,
LDV,SUV_COMPACT-Gas_PHEV,Partial,,,,,,,,,,,,
LDV,SUV_COMPACT-Gas_PHEV,Full,,,,,,,,0.035,0.045,0.035,0.045,
LDV,SUV_MIDSIZE-BEV_BEV,No,,,,0.01,0.05,,,,,,,
LDV,SUV_MIDSIZE-BEV_BEV,Partial,,,,,,,,,,,,
LDV,SUV_MIDSIZE-BEV_BEV,Full,,,,,,,,0.01,0.05,0.01,0.05,
LDV,SUV_MIDSIZE-Diesel_Conventional,No,,0,0,0,0,,,,,,,
LDV,SUV_MIDSIZE-Diesel_Conventional,Partial,,,,,,,,,,,,
LDV,SUV_MIDSIZE-Diesel_Conventional,Full,,,,,,,,,,,,
LDV,SUV_MIDSIZE-Gas_Conventional,No,0.2,0.14,0.11,0,0.1,0.14,0.11,,,,,
LDV,SUV_MIDSIZE-Gas_Conventional,Partial,,,,,,,,,,,,
LDV,SUV_MIDSIZE-Gas_Conventional,Full,,,,,,,,,0.1,,0.1,
LDV,SUV_MIDSIZE-Gas_Conv48V,No,,0.04,0.07,0.13,,0.04,0.07,0.13,,0.13,,
LDV,SUV_MIDSIZE-Gas_Conv48V,Partial,,,,,,,,,,,,
LDV,SUV_MIDSIZE-Gas_Conv48V,Full,,,,,,,,,,,,
LDV,SUV_MIDSIZE-Gas_HEV,No,,0.02,0.02,0.04,0.01,0.02,0.02,0.04,0.01,0.04,0.01,
LDV,SUV_MIDSIZE-Gas_HEV,Partial,,,,,,,,,,,,
LDV,SUV_MIDSIZE-Gas_HEV,Full,,,,,,,,,,,,
LDV,SUV_MIDSIZE-Gas_PHEV,No,,,,,0.02,,,,,,,
LDV,SUV_MIDSIZE-Gas_PHEV,Partial,,,,,,,,,,,,
LDV,SUV_MIDSIZE-Gas_PHEV,Full,,,,,,,,,0.02,,0.02,
LDV,SUV_FULLSIZE-Diesel_Conventional,No,,0,0,0,0,,,,,,,
LDV,SUV_FULLSIZE-Diesel_Conventional,Partial,,,,,,,,,,,,
LDV,SUV_FULLSIZE-Diesel_Conventional,Full,,,,,,,,,,,,
LDV,SUV_FULLSIZE-Gas_Conventional,No,0.04,0.04,0.04,0.03,0.03,0.04,0.04,0.03,0.03,0.03,0.03,
LDV,SUV_FULLSIZE-Gas_Conventional,Partial,,,,,,,,,,,,
LDV,SUV_FULLSIZE-Gas_Conventional,Full,,,,,,,,,,,,
LDV,,No,,0,0,0,0,,,,,,,
LDV,,Partial,,,,,,,,,,,,
LDV,,Full,,,,,,,,,,,,
LDV,,No,,0,0,0,0,,,,,,,
LDV,,Partial,,,,,,,,,,,,
LDV,,Full,,,,,,,,,,,,
LDV,,No,,0,0,0,0,,,,,,,
LDV,,Partial,,,,,,,,,,,,
LDV,,Full,,,,,,,,,,,,
LDV,TRUCK_FULLSIZE-Gas_Conventional,No,0.07,0.08,0.07,0,0,0.08,0.07,,,,,
LDV,TRUCK_FULLSIZE-Gas_Conventional,Partial,,,,,,,,,,,,
LDV,TRUCK_FULLSIZE-Gas_Conventional,Full,,,,,,,,,,,,
LDV,TRUCK_FULLSIZE-Gas_Conv48V,No,,,,0.07,0.07,,,0.07,0.07,0.07,0.07,
LDV,TRUCK_FULLSIZE-Gas_Conv48V,Partial,,,,,,,,,,,,
LDV,TRUCK_FULLSIZE-Gas_Conv48V,Full,,,,,,,,,,,,
LDV,TRUCK_MIDSIZE-BEV_BEV,No,,,,,,,,,,,,
LDV,TRUCK_MIDSIZE-BEV_BEV,Partial,,,,,,,,,,,,
LDV,TRUCK_MIDSIZE-BEV_BEV,Full,,,,,,,,,,,,
LDV,TRUCK_MIDSIZE-Diesel_Conventional,No,0.02,0.01,0.01,0.005,0.005,0.01,0.01,0.005,0.005,0.005,0.005,
LDV,TRUCK_MIDSIZE-Diesel_Conventional,Partial,,,,,,,,,,,,
LDV,TRUCK_MIDSIZE-Diesel_Conventional,Full,,,,,,,,,,,,
LDV,TRUCK_MIDSIZE-Gas_Conventional,No,0.028,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,
LDV,TRUCK_MIDSIZE-Gas_Conventional,Partial,,,,,,,,,,,,
LDV,TRUCK_MIDSIZE-Gas_Conventional,Full,,,,,,,,,,,,
#,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,
# LDV,TOTAL LDV (From above; Should be = 1),All,1,1,1,1,1,1,1,1,1,1,1,
# LDV,Sum check (from below),All,1,1,1,1,1,1,1,1,1,1,1,
LDV,TOTAL-TOTAL,No,1,1,1,1,1,0.9,0.89,0.775,0.405,0.775,0.405,
LDV,TOTAL-TOTAL,Partial,0,0,0,0,0,0.1,0.11,0.05,0.08,0.05,0.08,
LDV,TOTAL-TOTAL,Full,0,0,0,0,0,0,0,0.175,0.515,0.175,0.515,
# LDV,Number of Vehicles per Year,,14,52,53,53,51,26,26,20,16,20,16,
#,,,,,,,,,,,,,,
#,By Powertrains,,SMART,,,,,High Automation,High Automation,High Automation,High Automation,High Automation,High Automation,
LDV,TOTAL-Gas_Conventional,All,0.958,0.67,0.59,0.11,0.16,0.67,0.59,0.11,0.16,0.11,0.16,
LDV,TOTAL-Gas_Conv48V,All,0,0.16,0.21,0.35,0.21,0.16,0.21,0.35,0.21,0.35,0.21,
LDV,TOTAL-Diesel_Conventional,All,0.02,0.01,0.01,0.005,0.005,0.01,0.01,0.005,0.005,0.005,0.005,
LDV,TOTAL-Gas_HEV,All,0.02,0.09,0.07,0.28,0.12,0.09,0.07,0.28,0.12,0.28,0.12,
LDV,TOTAL-Gas_PHEV,All,0.001,0.03,0.05,0.075,0.115,0.03,0.05,0.075,0.115,0.075,0.115,
LDV,TOTAL-BEV_BEV,All,0.001,0.04,0.07,0.18,0.39,0.04,0.07,0.18,0.39,0.18,0.39,
# LDV,TOTAL-TOTAL,All,1,1,1,1,1,1,1,1,1,1,1,
# LDV,TOTAL-Fuel_Cell,All,,,,,,,,,,,,
#,By Class,,SMART,,,,,High Automation,High Automation,High Automation,High Automation,High Automation,High Automation,
LDV,CAR_COMPACT-TOTAL,All,0.216,0.185,0.185,0.13,0.13,0.185,0.185,0.13,0.13,0.13,0.13,
LDV,CAR_MIDSIZE-TOTAL,All,0.205,0.21,0.215,0.22,0.23,0.21,0.215,0.22,0.23,0.22,0.23,
LDV,CAR_FULLSIZE-TOTAL,All,0.071,0.07,0.07,0.06,0.06,0.07,0.07,0.06,0.06,0.06,0.06,
LDV,SUV_COMPACT-TOTAL,All,0.15,0.175,0.18,0.275,0.265,0.175,0.18,0.275,0.265,0.275,0.265,
LDV,SUV_MIDSIZE-TOTAL,All,0.2,0.2,0.2,0.18,0.18,0.2,0.2,0.18,0.18,0.18,0.18,
LDV,SUV_FULLSIZE-TOTAL,All,0.04,0.04,0.04,0.03,0.03,0.04,0.04,0.03,0.03,0.03,0.03,
LDV,TRUCK_PICKUP-TOTAL,All,0.118,0.12,0.11,0.105,0.105,0.12,0.11,0.105,0.105,0.105,0.105,
# LDV,TOTAL-TOTAL,All,1,1,1,1,1,1,1,1,1,1,1,
# Source:,"""='[SMART FY19 Scenario - All Common Assumptions - 190821_v4(20190905)PLrev.xlsx]Vehicles_LDV_Reformatted'",,,,,,,,,,,,,